#SampleID,Faith PD,Observed OTUs
ea89c98c.42eb.484a.aed3.33711e20a6fe,61.388567,1515.1
e5574c01.3027.458d.8f96.d68b66aae40b,44.74964000000001,1144.7
884e1ddb.8d8b.45cf.8dba.16387520872c,51.008486000000005,1238.1
dfc347e3.eed7.4592.95eb.374724230326,35.014828,984.4
4b9ad407.fc2f.4463.bccc.0cf3a28d05f6,55.20590000000001,1350.2
c18a0367.8148.4450.bf5a.507b6fe30c73,53.460706,1341.9
15129220.6eda.44ad.9511.be0f6e027f5d,54.568831,1290.1
183645ce.cacd.4744.8440.de4eb377dfea,57.30064500000001,1461.1
37f1087f.ae31.4fde.b96b.4b6c1d61351e,58.052971,1332.7
a6108908.5ef9.47ef.8f57.b055bc6ee7aa,50.136008999999994,1150.8
a4aa5c1f.05ae.4f0e.a0b8.441e2307642b,66.380573,1694.1
cfc37a70.9ba6.4d25.b541.4c0ff9d1bfeb,64.605645,1658.8
942d530f.499d.4ec7.a5c5.b473b46de9dd,42.256301,1165.3
fc3b9d18.32d6.4dda.ad70.cf9545e13512,34.779376,1128.1
2810ac58.4851.4789.a792.12f0eed210b2,,
1ad581dc.f690.4522.bcfa.2ac1392f1835,43.491637000000004,1192.5
3da00df1.0c79.4428.af4e.b70c506e5613,38.773691,1336.4
d256d51b.02ce.450b.8447.f9dc7e949072,60.18574900000001,1617.3
4b7fc783.1008.43aa.9325.896e2e370dee,57.12378299999999,1446.2
eb598d02.406f.4ac6.93bd.1d3b8d5682ac,61.83439400000001,1585.0
f96e60e7.00cd.437f.a8b7.2a57a381c89d,50.123183,1289.0
4545f13f.f648.4efe.99af.4492baa200fe,59.493956000000004,1463.8
38b26517.9a99.4774.bb19.9cf6ea8d8f06,52.749230999999995,1318.9
a0c64abc.8829.430e.8bf2.8f2674d435ae,57.88268000000001,1293.4
9ad2ea88.f0eb.435c.976d.416ebbfcd1b4,20.655569999999997,637.3
1ed80b53.bd2a.49e4.ad5b.0f4ec6228e81,43.74555399999999,1189.0
53a10dbe.f8cf.4e5c.9164.13e3e4187029,46.520588999999994,1178.7
15d8ed7d.7d90.4fee.9874.a30e5a6e2ec8,48.834149000000004,1139.3
2150ea11.62a6.494e.9c83.3583cce1fb94,49.986852999999996,1184.5
82a93877.b6c0.47cb.b4e5.990dbef0395c,50.16120600000001,1202.1
813e04bb.5ec0.48e2.948f.d7a41341772d,41.519355,1433.2
9ce7575e.ced6.4a0d.b97e.c66616c88598,60.928839,1620.7
f85b77cf.7fb3.4f19.a223.8da7aa6e03d0,57.387026000000006,1432.0
